"","Community","Gender","Literacy","Community_Group","Year","Income_source","Food_source","Education_HH","Education_spouse","Cons_Intervention_gen","Devel_Intervention_gen","Fish_NTZ","FFS","CGRN_Miombo","CGRN_Mangrove","VSLA","Association_Alliance"
"29","Monudo/Murudo","Male",0,1,2008,"Subsist_crops",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,1
"30","Moebase","Male",1,1,2008,"Subsist_crops",NA,"Complete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,1
"31","Iarupa","Male",0,1,2008,"Fish_sale_external",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,1
"32","Iarupa","Male",0,1,2008,"Fish_sale_external",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,NA
"33","Iarupa","Male",1,1,2008,"Fish_sale_external",NA,"Incomplete_primary","Illiterate",NA,NA,NA,NA,NA,NA,NA,1
"34","Iarupa","Male",1,1,2008,"Subsist_crops",NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,0
"35","Iarupa","Male",1,1,2008,"Fish_sale_external",NA,"Complete_primary","None",NA,NA,NA,NA,NA,NA,NA,1
"36","Pulizica","Male",1,1,2008,"Fish_sale_external",NA,"Complete_primary","None",1,0,1,0,0,1,0,0
"37","Namame","Male",1,1,2008,"Informal_work",NA,"Complete_primary","None",0,1,0,1,0,0,1,1
"38","Naheco","Male",0,1,2008,"Subsist_crops",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,1
"39","Mavele","Male",1,1,2008,"Fish_sale_external",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,1
"40","Iarupa","Male",0,1,2008,"Fish_sale_external",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,0
"41","Namiepe","Female",0,1,2008,"Subsist_crops",NA,"None",NA,1,1,0,1,1,0,1,0
"42","Moebase","Female",1,1,2008,"Cash_crops",NA,"Illiterate",NA,NA,NA,NA,NA,NA,NA,NA,1
"43",NA,"Female",0,1,2008,"Subsist_crops",NA,"Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA,0
"44","Munar","Female",1,1,2008,"Fruit",NA,"Incomplete_secondary",NA,NA,NA,NA,NA,NA,NA,NA,0
"45",NA,"Male",1,1,2008,NA,NA,"Complete_primary","Illiterate",NA,NA,NA,NA,NA,NA,NA,0
"46","Nauluco","Male",0,1,2008,"Informal_work",NA,"None","Illiterate",0,0,0,0,0,0,0,0
"47","Nauluco","Male",1,1,2008,"Hort_crops",NA,"Incomplete_primary","None",0,0,0,0,0,0,0,0
"48","Nauluco","Male",1,1,2008,"Informal_work",NA,"Incomplete_secondary","Incomplete_primary",0,0,0,0,0,0,0,0
"49","Mucoroma","Male",1,1,2008,"Fish_processing",NA,"Incomplete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,1
"50","Corane","Male",0,1,2008,"Cash_crops",NA,"None","None",1,1,1,1,1,1,0,NA
"51","Monudo/Murudo","Male",1,1,2008,"Informal_work",NA,"Incomplete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,0
"52","Corane","Male",0,1,2008,"Subsist_crops",NA,"Incomplete_primary","Incomplete_primary",1,1,1,1,1,1,0,0
"53","Moebase","Male",1,1,2008,"Fish_sale_external",NA,"Complete_primary","Complete_primary",NA,NA,NA,NA,NA,NA,NA,1
"54","Moebase","Male",1,1,2008,"Subsist_crops",NA,"Complete_primary","None",NA,NA,NA,NA,NA,NA,NA,1
"55",NA,"Male",1,1,2008,"Informal_work",NA,"Incomplete_secondary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,1
"56","Nacocolo","Male",0,1,2008,"Subsist_crops",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,0
"57","Namige","Male",1,1,2008,"Subsist_crops",NA,"Complete_primary","Illiterate",NA,NA,NA,NA,NA,NA,NA,1
"58","Murateia","Male",1,1,2008,"Informal_formal_business",NA,"Incomplete_secondary","Complete_primary",NA,NA,NA,NA,NA,NA,NA,0
"59","Mituco","Male",0,1,2008,"Informal_formal_business",NA,"None","Illiterate",NA,NA,NA,NA,NA,NA,NA,1
"60","Mituco","Male",1,1,2008,"Firewood_charcoal",NA,"Illiterate","Illiterate",NA,NA,NA,NA,NA,NA,NA,0
"61",NA,"Male",1,1,2008,"Fish_processing",NA,"Incomplete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,1
"62","Namiepe","Male",1,1,2008,"Informal_work",NA,"Incomplete_primary","None",1,1,0,1,1,0,1,0
"63","Naheco","Male",1,1,2008,"Subsist_crops",NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,1
"64","Naheco","Male",1,1,2008,"Subsist_crops",NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,0
"65","Mecane (Oua)","Male",1,1,2008,"Cash_crops",NA,"Incomplete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,1
"66","Namichir","Male",1,1,2008,"Subsist_crops",NA,"None","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,0
"67","Corane","Male",0,1,2008,"Cash_crops",NA,"None","None",1,1,1,1,1,1,0,0
"68","Murateia","Male",1,1,2008,"Informal_work",NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,1
"69",NA,"Male",1,1,2008,"Fruit",NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"70","Munar","Male",0,1,2008,"Informal_work",NA,"None","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,0
"71",NA,"Male",1,1,2008,NA,NA,"Incomplete_primary","Complete_primary",NA,NA,NA,NA,NA,NA,NA,0
"72","Mecane (Oua)","Male",1,1,2008,"Subsist_crops",NA,"None","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,0
"73","Mecane (Oua)","Male",0,1,2008,"Subsist_crops",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,1
"74","Mecane (Oua)","Male",1,1,2008,"Subsist_crops",NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,0
"75",NA,"Male",0,1,2008,"Informal_work",NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,1
"76","Naheco","Female",0,1,2008,"Subsist_crops",NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,1
"77","Namame","Female",0,1,2008,NA,NA,"None",NA,0,1,0,1,0,0,1,0
"78","Corane",NA,0,1,2008,"Subsist_crops",NA,"None",NA,1,1,1,1,1,1,0,0
"79","Munar","Female",0,1,2008,"Fruit",NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,0
"80","Pacone","Male",0,1,2008,"Subsist_crops",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,1
"81",NA,"Male",1,1,2008,NA,NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,1
"82","Nauluco","Male",0,1,2008,"Subsist_crops",NA,"None","None",0,0,0,0,0,0,0,NA
"83","Namichir","Male",1,1,2008,"Subsist_crops",NA,"Complete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,1
"84","Corane","Male",0,1,2008,"Fish_sale_external",NA,"None","None",1,1,1,1,1,1,0,0
"85","Moebase","Male",1,1,2008,"Subsist_crops",NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,0
"86","Corane","Male",0,1,2008,"Informal_work",NA,"Incomplete_primary","Incomplete_primary",1,1,1,1,1,1,0,1
"87","Corane","Male",1,1,2008,"Subsist_crops",NA,"Complete_primary","None",1,1,1,1,1,1,0,0
"88","Mtopa","Male",1,1,2008,"Subsist_crops",NA,"Complete_primary","None",NA,NA,NA,NA,NA,NA,NA,1
"89","Murateia","Male",1,1,2008,"Subsist_crops",NA,"Incomplete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,1
"90","Murateia","Male",1,1,2008,"Informal_formal_business",NA,"Incomplete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,1
"91","Pacone","Male",1,1,2008,"Subsist_crops",NA,"Complete_primary","None",NA,NA,NA,NA,NA,NA,NA,1
"92","Pulizica","Male",1,1,2008,"Subsist_crops",NA,"Complete_primary","Incomplete_primary",1,0,1,0,0,1,0,0
"93",NA,"Male",1,1,2008,"Informal_work",NA,"Complete_secondary_or_higher","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,0
"94","Mituco","Male",0,1,2008,"Subsist_crops",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,0
"95","Namame","Male",1,1,2008,"Fish_sale_external",NA,"Incomplete_primary","None",0,1,0,1,0,0,1,0
"96","Mituco","Male",1,1,2008,"Subsist_crops",NA,"Incomplete_primary","Illiterate",NA,NA,NA,NA,NA,NA,NA,0
"97",NA,"Male",0,1,2008,"Fish_sale_external",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,1
"98","Namiepe",NA,0,1,2008,"Subsist_crops",NA,"None","None",1,1,0,1,1,0,1,0
"99","Namiepe","Male",0,1,2008,"Subsist_crops",NA,"None","None",1,1,0,1,1,0,1,0
"100","Namiepe","Male",1,1,2008,"Subsist_crops",NA,"Incomplete_primary","Incomplete_primary",1,1,0,1,1,0,1,1
"101","Namiepe","Male",1,1,2008,"Informal_work",NA,"Incomplete_primary","None",1,1,0,1,1,0,1,0
"102","Hori","Male",0,1,2008,"Fish_sale_external",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,1
"103",NA,"Male",1,1,2008,NA,NA,"Incomplete_primary","Complete_primary",NA,NA,NA,NA,NA,NA,NA,0
"104","Nanheua","Male",1,1,2008,"Subsist_crops",NA,"Complete_primary","None",NA,NA,NA,NA,NA,NA,NA,1
"105","Macogone","Male",0,1,2008,"Subsist_crops",NA,"None","Illiterate",0,1,0,1,0,0,1,0
"106","Mecane (Oua)","Male",1,1,2008,"Cash_crops",NA,"Incomplete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,0
"107","Iarupa","Male",1,1,2008,"Subsist_crops",NA,"Illiterate","None",NA,NA,NA,NA,NA,NA,NA,0
"108","Hori","Male",1,1,2008,"Fish_sale_external",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,1
"109",NA,"Male",1,1,2008,NA,NA,"Incomplete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,0
"110","Mecane (Oua)","Male",1,1,2008,"Fish_sale_local",NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,1
"111","Mecane (Oua)","Male",1,1,2008,"Informal_formal_business",NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,0
"112",NA,"Male",1,1,2008,"Subsist_crops",NA,"Complete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"113","Macogone","Male",1,1,2008,"Subsist_crops",NA,"Complete_primary",NA,0,1,0,1,0,0,1,0
"114","Lalaue","Female",0,1,2008,"Informal_formal_business",NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,1
"115","Macogone","Male",0,1,2008,"Subsist_crops",NA,"None",NA,0,1,0,1,0,0,1,1
"116","Pacone","Male",1,1,2008,"Subsist_crops",NA,"Complete_primary","Complete_primary",NA,NA,NA,NA,NA,NA,NA,0
"117","Corane","Male",0,1,2008,"Subsist_crops",NA,"None","None",1,1,1,1,1,1,0,0
"118","Corane","Male",0,1,2008,"Fish_sale_external",NA,"None","None",1,1,1,1,1,1,0,1
"119","Monudo/Murudo","Male",0,1,2008,"Animal_husbandry",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,1
"120",NA,"Male",1,1,2008,"Informal_work",NA,"Complete_secondary_or_higher","None",NA,NA,NA,NA,NA,NA,NA,0
"121","Ampuitine","Male",0,1,2008,"Fish_sale_external",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,1
"122","Ampuitine","Male",0,1,2008,"Fish_sale_external",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,1
"123",NA,"Male",1,1,2008,NA,NA,"Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA,0
"124","Namame","Male",1,1,2008,NA,NA,"Complete_primary","Illiterate",0,1,0,1,0,0,1,1
"125","Munar","Male",1,1,2008,"Fruit",NA,"Illiterate","Illiterate",NA,NA,NA,NA,NA,NA,NA,0
"126","Namaquete","Male",1,1,2008,"Fish_sale_external",NA,"Complete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,1
"127","Naheco","Male",1,1,2008,"Subsist_crops",NA,"Illiterate","None",NA,NA,NA,NA,NA,NA,NA,1
"128","Mecane (Oua)","Male",0,1,2008,"Informal_work",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,0
"129","Mavele","Male",1,1,2008,"Sell_drinks",NA,"Complete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,1
"130","Namichir","Female",0,1,2008,"Subsist_crops",NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,0
"131","Namichir","Male",0,1,2008,"Subsist_crops",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,0
"132","Namichir","Male",0,1,2008,"Subsist_crops",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,1
"133","Lalaue","Male",0,1,2008,"Subsist_crops",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,1
"134","Namichir","Male",1,1,2008,"Informal_work",NA,"Complete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,0
"135","Corane","Male",0,1,2008,"Subsist_crops",NA,"None","None",1,1,1,1,1,1,0,0
"136","Corane","Male",0,1,2008,"Fish_sale_external",NA,"Complete_primary","None",1,1,1,1,1,1,0,0
"137","Nacocolo","Male",1,1,2008,"Subsist_crops",NA,"Complete_primary","None",NA,NA,NA,NA,NA,NA,NA,1
"138",NA,"Male",1,1,2008,"Informal_work",NA,"Complete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,0
"139",NA,"Female",1,1,2008,"Informal_formal_business",NA,"Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA,0
"140","Namiepe","Male",1,1,2008,"Subsist_crops",NA,"Incomplete_primary","None",1,1,0,1,1,0,1,0
"141","Munar","Male",1,1,2008,"Cash_crops",NA,"Complete_primary","Illiterate",NA,NA,NA,NA,NA,NA,NA,0
"142","Nacalela","Male",1,1,2008,"Subsist_crops",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,1
"143",NA,"Male",1,1,2008,"Fruit",NA,"Complete_primary","Complete_primary",NA,NA,NA,NA,NA,NA,NA,0
"144","Mavele","Male",0,1,2008,"Cash_crops",NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,1
"145",NA,"Female",0,1,2008,NA,NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,0
"146","Murateia","Male",0,1,2008,"Subsist_crops",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,1
"147","Munar","Male",1,1,2008,"Fish_sale_local",NA,"Complete_primary","Illiterate",NA,NA,NA,NA,NA,NA,NA,0
"148",NA,"Male",1,1,2008,NA,NA,"Incomplete_secondary","Incomplete_secondary",NA,NA,NA,NA,NA,NA,NA,0
"149",NA,"Male",1,1,2008,"Construction_materials",NA,"Incomplete_secondary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,0
"150",NA,"Male",1,1,2008,"Informal_work",NA,"Complete_secondary_or_higher","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,0
"151",NA,"Male",0,1,2008,NA,NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,0
"152",NA,"Male",1,1,2008,"Informal_work",NA,"Complete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,1
"153","Pulizica","Male",1,1,2008,"Sell_drinks",NA,"Incomplete_secondary","Incomplete_primary",1,0,1,0,0,1,0,0
"154",NA,"Male",1,1,2008,"Informal_formal_business",NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,1
"155",NA,"Male",1,1,2008,NA,NA,"Complete_primary","Complete_primary",NA,NA,NA,NA,NA,NA,NA,1
"156","Monudo/Murudo","Male",1,1,2008,"Fruit",NA,"Incomplete_secondary","Illiterate",NA,NA,NA,NA,NA,NA,NA,1
"157",NA,"Male",0,1,2008,"Informal_work",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,1
"158",NA,"Male",1,1,2008,"Fish_sale_local",NA,"Complete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,1
"159","Hori","Female",0,1,2008,"Subsist_crops",NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,0
"160",NA,"Male",0,1,2008,NA,NA,"Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA,NA
"161",NA,"Male",1,1,2008,"Informal_work",NA,"None","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,0
"162","Hori","Male",1,1,2008,"Fish_sale_external",NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,0
"163","Monudo/Murudo","Male",1,1,2008,"Formal_work",NA,"Incomplete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,1
"164","Murateia","Male",1,1,2008,"Subsist_crops",NA,"Complete_primary","Illiterate",NA,NA,NA,NA,NA,NA,NA,1
"165","Pacone","Male",1,1,2008,"Subsist_crops",NA,"Complete_primary","None",NA,NA,NA,NA,NA,NA,NA,1
"166","Pacone","Male",1,1,2008,"Subsist_crops",NA,"Complete_primary","None",NA,NA,NA,NA,NA,NA,NA,1
"167","Tipane","Male",1,1,2008,"Informal_formal_business",NA,"Complete_primary","None",NA,NA,NA,NA,NA,NA,NA,1
"168",NA,"Male",1,1,2008,NA,NA,"Complete_secondary_or_higher","Complete_primary",NA,NA,NA,NA,NA,NA,NA,0
"169","Naheco","Male",1,1,2008,"Subsist_crops",NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,1
"170","Nacalela","Male",1,1,2008,"Subsist_crops",NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,0
"171",NA,"Male",0,1,2008,"Subsist_crops",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,1
"172","Mecane (Oua)","Male",0,1,2008,"Subsist_crops",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,1
"173","Mituco","Male",1,1,2008,"Subsist_crops",NA,"Incomplete_primary","Illiterate",NA,NA,NA,NA,NA,NA,NA,1
"174",NA,"Male",0,1,2008,NA,NA,"None","None",NA,NA,NA,NA,NA,NA,NA,0
"175","Moebase","Male",1,1,2008,"Subsist_crops",NA,"Complete_primary","None",NA,NA,NA,NA,NA,NA,NA,NA
"176","Pacone","Male",1,1,2008,"Subsist_crops",NA,"Complete_primary","None",NA,NA,NA,NA,NA,NA,NA,1
"177","Tipane","Male",0,1,2008,"Subsist_crops",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,1
"178","Mituco","Male",0,1,2008,"Subsist_crops",NA,"None","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,1
"179",NA,"Male",1,1,2008,"Fish_sale_local",NA,"Complete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,1
"180","Txotxo","Male",0,1,2008,"Subsist_crops",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,1
"181","Nanheua","Male",0,1,2008,"Subsist_crops",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,1
"182","Nambui","Male",1,1,2008,"Subsist_crops",NA,"Complete_primary","None",NA,NA,NA,NA,NA,NA,NA,1
"183","Nacalela","Male",1,1,2008,"Subsist_crops",NA,"Complete_primary","None",NA,NA,NA,NA,NA,NA,NA,1
"184","Mavele","Male",1,1,2008,"Informal_formal_business",NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,1
"185","Murateia","Male",1,1,2008,"Fish_sale_local",NA,"Incomplete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,1
"186",NA,"Female",0,1,2008,"Informal_formal_business",NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,0
"187",NA,"Male",1,1,2008,NA,NA,"Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","Lalaue","Male",1,1,2008,"Informal_formal_business",NA,"Incomplete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,1
"189","Moebase","Male",1,1,2008,"Informal_formal_business",NA,"Incomplete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,1
"190",NA,"Male",1,1,2008,"Fish_sale_external",NA,"Complete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,1
"191","Magene","Male",1,1,2008,"Sell_drinks",NA,"Incomplete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,0
"192","Namige","Male",1,1,2008,"Fruit",NA,"Incomplete_secondary","Complete_primary",NA,NA,NA,NA,NA,NA,NA,1
"193","Namame","Female",1,1,2008,"Cash_crops",NA,"Incomplete_primary","None",0,1,0,1,0,0,1,0
"194","Mituco","Male",1,1,2008,"Hort_crops",NA,"Complete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,0
"195",NA,"Male",1,1,2008,"Subsist_crops",NA,"Incomplete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,1
"196","Nacalela","Male",0,1,2008,"Informal_work",NA,"Complete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,1
"197",NA,"Male",0,1,2008,"Animal_husbandry",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,1
"198","Mavele","Male",0,1,2008,"Subsist_crops",NA,"Complete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA
"199",NA,NA,1,1,2008,"Informal_formal_business",NA,"Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,NA,0
"200","Namichir","Male",0,1,2008,"Subsist_crops",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,1
"201",NA,"Male",1,1,2008,"Fish_sale_local",NA,"Complete_secondary_or_higher","Incomplete_secondary",NA,NA,NA,NA,NA,NA,NA,NA
"202","Monudo/Murudo","Male",1,1,2008,NA,NA,"Incomplete_secondary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,1
"203","Namame","Male",1,1,2008,"Fish_sale_external",NA,"Complete_primary","Illiterate",0,1,0,1,0,0,1,1
"204",NA,"Male",1,1,2008,"Fish_sale_local",NA,"Complete_secondary_or_higher","Incomplete_secondary",NA,NA,NA,NA,NA,NA,NA,0
"205",NA,"Male",1,1,2008,"Informal_work",NA,"Incomplete_secondary",NA,NA,NA,NA,NA,NA,NA,NA,0
"206",NA,"Male",1,1,2008,"Informal_formal_business",NA,"Incomplete_primary","None",NA,NA,NA,NA,NA,NA,NA,0
"207",NA,"Male",1,1,2008,"Informal_work",NA,"Complete_secondary_or_higher","Incomplete_secondary",NA,NA,NA,NA,NA,NA,NA,0
"208","Macogone","Male",0,1,2008,"Subsist_crops",NA,"None","None",0,1,0,1,0,0,1,0
"209",NA,"Male",0,1,2008,"Fish_sale_external",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,1
"210",NA,"Male",0,1,2008,"Fish_sale_external",NA,"None","None",NA,NA,NA,NA,NA,NA,NA,1
"211",NA,"Female",0,1,2008,"Transportation",NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,0
"212",NA,"Male",1,1,2008,"Fish_sale_external",NA,"Incomplete_secondary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,1
"213",NA,"Male",0,1,2008,"Informal_formal_business",NA,"None","Incomplete_secondary",NA,NA,NA,NA,NA,NA,NA,0
"214",NA,"Male",1,1,2008,"Fish_sale_local",NA,"Complete_secondary_or_higher","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,1
"215",NA,"Male",1,1,2008,"Fish_processing",NA,"Incomplete_primary","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,1
"216",NA,"Male",1,1,2008,"Informal_work",NA,"Incomplete_secondary",NA,NA,NA,NA,NA,NA,NA,NA,0
"217",NA,"Male",1,1,2008,"Informal_work",NA,"Complete_secondary_or_higher","Complete_primary",NA,NA,NA,NA,NA,NA,NA,1
"218",NA,"Male",1,1,2008,"Informal_formal_business",NA,"None","Incomplete_primary",NA,NA,NA,NA,NA,NA,NA,0
